"ClassName","CommentAddedVersion","Intent","Responsibility","Collabartor","InstanceVariable","KeyMessages","Example","ImplementenationPoints"
"TxTextEditor","4","0","1","0","0","0","0","0"
"Abort","3","0","1","1","0","0","0","0"
"AbstractClassWidget","4","1","1","0","0","0","0","0"
"AbstractEcryptorDecryptor","2","1","1","0","0","0","0","0"
"AbstractEnumerationVisitorTest","3","1","0","1","0","0","0","0"
"AccessorInstanceVariableSlot","4","1","1","0","0","0","0","0"
"AdditionalMethodStateTest","3","1","1","1","0","0","0","0"
"AJReserveTemp","2","0","0","0","0","0","0","0"
"AJStdCallCallInfo","2","1","0","0","0","0","0","0"
"AJx87Register","2","1","0","0","0","0","0","0"
"AllocationTest","1","0","0","0","0","0","0","0"
"AndreasSystemProfilerTest","3","1","0","1","0","0","0","0"
"AnnouncementSetWithExclusions","6","1","1","0","1","0","1","0"
"AthensCairoSurface","3","1","0","1","0","0","0","1"
"AthensCubicBezier","3","1","1","0","0","0","0","0"
"AthensFontDescription","3","0","1","0","0","0","1","0"
"AthensPathConverter","3","1","1","0","0","0","1","1"
"AthensSceneView","3","1","1","0","0","0","1","1"
"AthensSurface","3","1","1","0","0","0","1","1"
"BalloonEngine","1","1","1","0","0","0","0","0"
"BalloonMorph","1","1","1","0","0","1","0","1"
"BaseSlot","4","1","0","1","0","1","0","0"
"BehaviorInstallingDeclaration","2","1","1","0","0","0","0","0"
"BehaviorTest","3","1","1","1","0","0","0","0"
"BISettingPreviewer","6","1","1","0","0","0","0","0"
"BitBlt","1","1","0","0","1","0","0","1"
"BottomBorder","7","1","1","0","1","1","1","0"
"CallbackForWin64X64","6","1","1","0","0","0","0","0"
"CannotDecompileNativeBoostCalls","5","0","1","0","0","0","0","0"
"CannotDeleteFileException","3","0","1","0","0","0","0","0"
"ChangeSorterApplication","2","1","0","0","0","0","1","0"
"Class","1","0","1","1","0","0","0","1"
"ClassTagAdded","6","0","1","0","0","0","0","0"
"ClyAbstractClassExample","7","1","1","1","0","0","0","0"
"ClyAllClassGroupsQuery","7","1","0","0","0","0","0","1"
"ClyAllVariablesQuery","7","0","1","0","0","0","0","0"
"ClyCritiqueMenuItemMorph","7","0","1","0","0","0","0","0"
"ClyEnvironmentPlugin","7","1","1","0","1","0","1","0"
"ClyFindMethodInBrowserCommand","7","1","1","0","0","0","1","0"
"ClyGlobalVariable","7","1","0","0","0","0","1","0"
"ClyInheritedTraitScope","7","1","1","1","0","0","0","0"
"ClyMethodSourcesQuery","7","1","1","1","1","0","1","0"
"ClySugsMethodContext","7","0","1","1","0","0","0","0"
"ClySystemEnvironment","7","1","1","1","1","1","0","0"
"ClyTraitMethodDecorator","7","0","1","0","0","0","0","0"
"ClyTypedQuery","7","1","1","0","0","1","0","1"
"CNGBTextConverter","1","1","0","0","0","0","0","0"
"Color","1","1","1","1","1","1","1","1"
"ColorChooserMorph","1","1","1","0","0","0","0","0"
"CornerRounder","1","1","1","0","0","0","0","0"
"DADependencyFromClass","5","1","0","0","0","0","0","1"
"DADependentPackageItemDiff","5","1","1","1","0","0","0","0"
"DateAndTimeTest","1","1","0","0","1","0","0","0"
"DateParser","3","0","1","0","0","0","1","1"
"DialogWindow","1","1","1","0","0","0","0","0"
"DualChangeSorterApplication","2","1","1","1","0","0","0","0"
"EmptyLayout","3","1","1","0","0","0","0","0"
"EncoderForSistaV1","4","0","1","1","1","0","0","1"
"EncoderForV3","1","0","1","1","0","1","0","0"
"EpBehaviorCommentChange","6","1","0","0","0","0","0","0"
"EpBehaviorNameChange","6","1","0","0","0","0","0","0"
"EpClassChange","6","1","0","0","0","0","0","0"
"EpHelp","6","1","0","0","0","0","0","0"
"EpLogBrowserOperation","6","1","0","0","0","0","0","0"
"EpLogBrowserOperationVisitor","6","1","0","1","0","0","0","0"
"EpMethodRemoval","6","1","0","0","0","0","0","0"
"EpProtocolChange","6","1","0","0","0","0","0","0"
"EpRenameMethodRefactoring","6","1","0","0","0","0","0","0"
"EUCTextConverter","1","1","0","0","0","0","0","0"
"ExampleForTest11","3","1","1","0","0","0","0","0"
"ExampleForTest12","3","1","1","0","0","0","0","0"
"ExpanderMorphContracted","1","1","0","1","0","0","1","0"
"ExternalData","5","1","1","0","1","0","0","1"
"ExternalStructure","5","0","1","0","0","0","0","1"
"EyeMethodContextInspector","3","1","1","1","0","0","0","0"
"EyePointerWrapper","4","1","1","1","0","0","0","0"
"FailingTestResourceTestCase","3","1","0","0","0","0","0","0"
"FastTablePresenter","7","1","0","1","0","0","0","0"
"FBDASTBuilder","5","1","1","1","0","0","0","0"
"FBDLoopScanner","5","0","1","0","1","0","0","1"
"FFICallbackReturnValue","5","0","1","0","0","0","1","0"
"FFICallbackType","5","1","1","1","1","0","0","1"
"FFICompilerPluginTests","7","1","0","1","0","0","0","0"
"FFIExternalStructureReferenceHandle","5","1","0","0","0","0","1","1"
"FFIUnknownLibrary","5","0","1","0","0","0","1","0"
"FinderClassNode","1","1","1","1","0","0","0","0"
"FinderPragmaMethodNode","5","1","1","1","0","0","0","1"
"FindReplaceService","3","1","0","0","0","0","0","0"
"FLContextSerializationTest","4","1","0","1","0","0","0","0"
"FLGlobalCluster","2","1","1","0","0","0","1","0"
"FLLightGlobalMapper","2","0","1","1","0","0","1","0"
"FLMaterialization","2","0","1","1","0","0","0","0"
"FloatingPointException","1","1","0","0","0","0","1","0"
"FLPointCluster","2","1","1","1","0","0","0","1"
"FLPositive64SmallIntegerCluster","6","1","0","0","0","0","0","0"
"FLPrimitiveCluster","2","1","0","0","0","0","0","0"
"FLSerializationError","2","1","0","0","0","0","0","0"
"FLSerializationTest","3","1","0","1","0","0","0","0"
"FLSingletonMockEnforced","3","1","0","0","0","0","0","0"
"FLSmallIntegerCluster","2","0","1","0","0","0","0","0"
"FLTraitSerializationTest","2","1","1","0","0","0","0","0"
"FormCanvas","1","0","0","0","1","0","1","1"
"FrameLayoutSpec","2","0","1","1","0","0","0","0"
"FT2BitmapSize","1","1","1","0","1","0","0","1"
"FT2Constants","1","0","0","1","1","0","0","0"
"FTAllItemsStrategy","5","1","1","1","1","1","1","0"
"FTExampleMethodTableDataSource","5","1","0","1","0","0","1","0"
"FTOutline","7","1","0","0","0","0","0","0"
"FTPClient","1","1","1","0","0","0","1","1"
"GLMAnnouncer","4","1","1","0","0","0","0","0"
"GLMBandBrick","4","1","1","0","0","0","0","0"
"GLMBrickLayoutProperties","4","1","0","1","1","1","0","0"
"GLMBrickRubricStyle","7","1","1","1","0","0","0","0"
"GLMBrickTabLabelThemer","4","1","0","0","0","0","0","0"
"GLMCheckboxBrick","4","1","0","0","1","1","0","1"
"GLMDropDownListPresentation","4","0","1","0","0","0","1","0"
"GLMDynamicPresentation","4","1","1","0","0","0","1","0"
"GLMEmptyPopupBrick","6","1","0","1","0","1","1","0"
"GLMExplicitBrowser","4","1","1","0","0","0","0","0"
"GLMMorphicFastTreeRenderer","5","1","1","0","0","0","0","0"
"GLMMorphicPagerRenderer","4","0","0","0","0","0","0","0"
"GLMOSWindowWorldMorph","6","1","1","1","0","0","1","0"
"GLMPanePort","4","1","1","0","0","1","0","0"
"GLMPopupBrick","6","1","0","0","0","0","0","0"
"GLMPortReference","4","1","1","0","0","0","0","0"
"GLMPresentation","4","1","1","1","1","1","0","1"
"GLMPresentationBoundPort","4","1","1","1","1","0","0","1"
"GLMRubEditingAreaBrick","4","1","1","0","1","0","0","0"
"GLMRubricSmalltalkCodePresentation","4","0","1","1","0","0","0","0"
"GLMRubScrolledTextBrick","4","1","1","1","1","1","0","0"
"GLMWindowRequest","5","0","1","0","0","0","0","0"
"GoferMerge","3","0","1","0","0","0","0","0"
"GRTemporaryNeitherReadNorWrittenRule","6","0","0","0","0","0","0","0"
"GTBytecodeDebuggerSession","5","0","1","0","0","0","0","0"
"GTDebuggerSystemSettings","5","0","1","1","0","0","0","0"
"GTEventCollectors","5","1","1","1","1","1","0","0"
"GTEventRecorderSettings","5","1","0","0","0","0","1","0"
"GTFilter","5","1","0","0","0","0","0","0"
"GTRawObjectVariablesBrowser","5","1","1","1","0","0","0","0"
"GTSpotter","4","1","1","0","0","0","0","0"
"GTSpotterEventCollectorTest","5","1","1","1","0","0","0","0"
"GTSpotterRecorderDiveOutEvent","4","0","1","0","0","0","0","0"
"HaltOnCountIconStyler","6","1","1","1","0","1","0","0"
"HECharacter","7","1","1","0","0","0","0","0"
"HelpBrowserTest","3","1","1","0","0","0","0","0"
"HermesCommandLineHandler","7","1","1","0","0","0","1","0"
"IceBasicProjectReader","7","1","1","1","0","0","0","0"
"IceGitHubBranchSelectCommand","7","1","1","0","0","0","0","0"
"IceGitHubPullRequestDataSource","6","1","1","0","0","0","0","0"
"IceNothingToCommit","6","0","1","0","0","0","0","0"
"IceRemovedClassReference","6","1","0","1","0","0","0","0"
"IceSemanticVersion","6","1","1","0","0","0","0","0"
"IceTipAddSSHCredentialsModel","7","0","1","0","0","0","0","0"
"IceTipBrowser","7","1","1","0","0","0","0","0"
"IceTipGitHubPullRequestListBrowser","7","1","1","1","1","0","0","0"
"IceTipGitHubRepositoryPanel","7","1","1","0","0","0","0","0"
"IceTipItemPosition","7","1","0","1","0","0","0","0"
"IceTipPullCommand","7","1","1","0","0","0","0","0"
"IceTipRemoveFromRepositoryPackageCommand","7","1","1","0","0","0","0","0"
"IceTipRepairCheckoutBranch","7","0","1","0","0","0","0","0"
"IceTipRepairFetchRemoteBranch","7","0","1","0","0","0","0","0"
"IdentityTransform","3","1","0","0","0","0","0","0"
"IllegalResumeAttempt","1","0","0","0","0","0","0","0"
"ImageModel","3","1","0","0","0","0","0","0"
"ImageMorph","1","1","1","1","1","1","1","1"
"InlineTextDiffBuilder","7","1","0","0","0","0","0","0"
"InstanceVariableSlot","4","0","1","0","0","0","0","0"
"Integer","1","1","0","0","0","1","0","1"
"IRMethod","3","1","1","0","0","1","0","0"
"Job","2","1","1","1","0","0","1","0"
"KeyChain","2","1","1","0","0","0","0","1"
"KeyNotFound","1","1","0","0","0","0","0","0"
"KMPragmaKeymapBuilder","3","1","0","1","0","0","0","0"
"LargeNegativeInteger","1","1","0","0","0","0","0","0"
"LayoutFrame","1","1","1","0","1","0","0","0"
"LazyClassListExample","1","0","0","0","0","0","1","0"
"LGitDiffDelta","6","1","0","0","0","0","0","1"
"LGitSafeFFICalloutMethodBuilder","6","1","1","0","0","1","0","1"
"ListComposableModel","2","1","1","1","0","0","1","0"
"ListPresenter","7","1","0","1","1","1","0","0"
"LockableTabMorph","6","1","1","1","0","0","0","0"
"ManifestCollectionsStrings","5","0","1","1","0","0","0","0"
"ManifestCollectionsSupport","5","0","1","1","0","0","0","0"
"ManifestFiles","5","0","1","1","0","0","0","0"
"ManifestNetworkUUID","5","0","1","1","0","0","0","0"
"ManifestRandomCore","6","0","1","1","0","0","0","0"
"ManifestRingCoreKernel","5","0","1","1","0","0","0","0"
"ManifestSystemLocalization","5","0","1","1","0","0","0","0"
"MCClassDefinition","2","1","0","0","0","0","0","0"
"MCCodeTool","1","1","1","1","0","0","0","1"
"MCLazyVersionInfo","4","0","1","0","0","0","0","1"
"MCMockAPoolDictionary","3","0","1","0","0","0","0","0"
"MCReader","3","1","0","0","0","0","0","0"
"MCSubDirectoryRepositoryTest","2","1","1","1","0","0","0","0"
"MCVersionLoaderStopped","5","0","0","0","0","0","0","0"
"MCWorkingHistoryBrowser","3","1","0","0","0","0","0","0"
"MD5NonPrimitive","1","1","0","1","0","0","0","1"
"MetacelloCommandLineHandler","7","1","1","0","0","0","1","0"
"MetacelloLookupProjectSpecForLoad","3","0","1","1","0","0","0","0"
"MethodAdded","1","0","0","1","0","0","1","0"
"MethodClassInitializeAction","4","0","1","0","0","0","0","0"
"MethodContainsHaltAction","2","1","0","0","0","0","0","0"
"MethodDeclaration","2","1","1","1","0","1","0","0"
"MethodIsTestAction","2","1","0","0","0","0","0","0"
"Model","1","0","1","0","0","0","0","1"
"ModificationForbidden","6","1","1","0","1","0","0","1"
"MorphicEventHandler","2","0","1","0","0","0","0","1"
"MorphicImageAdapter","3","1","0","1","0","0","0","0"
"MorphicUIBugTest","1","1","1","0","1","0","0","0"
"MultipleMethodsEditor","2","1","1","0","0","0","0","0"
"NautilusShowInstanceChanged","2","0","1","0","0","0","0","1"
"NautilusTest","2","1","1","0","0","0","0","0"
"NavigationHistory","2","1","0","0","0","0","0","0"
"NBCallbackCodeGen","2","0","1","0","0","0","0","0"
"NBCodeGenRecursion","2","0","1","0","0","0","0","1"
"NBExternalTypeValue","2","1","1","0","0","0","1","0"
"NBFFICalloutError","2","0","1","1","0","0","0","1"
"NBFnArgument","2","1","1","0","0","0","0","0"
"NBUnixExternalHeapManager","2","1","0","0","0","0","0","1"
"NECPreferences","2","0","1","1","0","0","0","0"
"NECVarTypeGuesser","1","1","1","0","0","0","0","0"
"NNavDirectionParent","3","0","1","0","0","0","0","0"
"NOCModel","2","1","0","0","0","0","0","0"
"Notification","1","1","0","0","0","0","0","0"
"NullAnnotationContext","7","1","1","1","1","0","0","1"
"OCASTTranslator","3","0","1","1","0","1","0","0"
"OCCompilerNotifyingTest","3","1","1","0","1","0","0","0"
"OmSessionStoreUpdated","6","0","1","1","1","0","0","0"
"OSMouseButtonPressEvent","4","0","1","0","0","0","0","0"
"OSNullWindowDriver","4","0","1","0","0","0","1","0"
"OSTextInputEvent","4","0","1","0","0","0","0","0"
"OSTouchActionPointerEvent","5","1","0","1","0","0","0","0"
"OSTouchGestureNeedingThresholdDetector","5","1","1","0","0","0","0","0"
"OSTouchOneFingerHoldEvent","5","0","1","0","0","0","0","0"
"OSTouchThreeFingersScrollEndEvent","5","0","1","0","0","0","0","0"
"OSWindowClipboard","4","0","1","1","0","0","0","0"
"OSWindowEventVisitor","4","1","1","0","0","0","0","0"
"OSWindowExposeEvent","4","0","0","0","0","0","0","0"
"OSWindowMoveEvent","4","0","0","0","0","0","0","0"
"OSWindowResizeEvent","4","0","1","0","0","0","0","1"
"OSWindowWorldMorph","6","1","0","0","0","0","1","0"
"OverridesDeprecatedMethodRule","6","0","0","0","0","0","0","0"
"PackageNodeExample","3","1","0","0","0","0","0","0"
"PermaLink","7","0","1","0","1","0","0","1"
"PermissionsEditor","2","1","1","0","0","0","0","0"
"PharoDocCommentNode","6","1","1","1","0","0","1","0"
"PharoSyntaxTutorialTest","3","1","1","0","0","0","0","0"
"Point","1","1","1","0","0","0","0","0"
"PointerLayout","3","1","1","1","0","0","0","0"
"PreDebugResumeDebugAction","3","0","1","1","1","0","0","0"
"PreorderGuideTest","3","1","0","0","0","0","0","0"
"Privacy","5","1","1","1","0","1","0","0"
"PrivacyChangedAnnoucement","5","0","1","0","0","0","0","0"
"ProcessList","5","1","1","1","0","0","0","1"
"ProportionalLayout","1","1","1","1","0","0","0","0"
"ProtocolAdded","1","0","0","1","0","0","0","1"
"RBAbstractClass","6","1","1","1","0","0","0","0"
"RBAddClassRefactoring","6","1","1","1","0","0","0","1"
"RBAddClassTraitChange","6","1","0","0","0","0","0","0"
"RBAddClassVariableChange","6","1","1","0","0","0","0","1"
"RBAddMetaclassChange","6","1","1","0","0","0","0","0"
"RBAddPoolVariableChange","6","1","0","0","0","0","0","1"
"RBAddProtocolChange","7","1","1","1","0","0","0","0"
"RBAllAnyNoneSatisfyRule","3","0","0","0","0","0","0","0"
"RBBrowserEnvironmentsClassesHelp","6","1","0","1","0","0","0","0"
"RBCascadeNode","1","1","0","0","1","0","0","0"
"RBClassModelFactory","6","1","1","1","0","0","1","1"
"RBCompositeRefactoryChange","6","1","1","1","0","0","0","0"
"RBIfTrueReturnsRule","4","0","1","0","0","0","0","0"
"RBLiteralArrayCharactersRule","4","0","0","1","0","0","0","0"
"RBLiteralArrayContainsSuspiciousTrueFalseOrNilRule","2","0","1","0","0","1","0","0"
"RBMethodName","6","1","1","1","0","0","1","0"
"RBMoveClassTransformation","7","1","0","0","0","0","1","0"
"RBNullFormatter","5","1","1","0","0","0","0","0"
"RBPackageEnvironment","5","1","1","0","0","0","1","0"
"RBPharoBootstrapRule","5","0","1","1","0","0","0","0"
"RBRefactoringClassesHelp","6","0","0","1","0","0","0","0"
"RBRefactoryTyper","6","1","1","1","0","0","1","0"
"RBRefersToClassRule","2","0","0","0","0","0","0","0"
"RBRemoveClassChange","6","1","1","0","0","0","0","0"
"RBRemoveParameterRefactoring","6","1","0","0","0","0","0","1"
"RBRenameVariableTransformation","7","0","1","0","0","0","1","0"
"RbScriptingSetBeforeModel","5","0","0","0","0","1","1","0"
"RBSearchingLiteralRule","4","0","1","0","0","0","0","0"
"RBSendsMethodDictRule","4","0","0","0","0","0","0","0"
"RBTrueFalseDuplicationRule","4","0","1","1","0","0","0","0"
"ReAbstractRule","6","1","0","0","0","0","0","0"
"ReEntityCriticized","5","1","0","0","0","0","0","0"
"ReExceptionProperty","7","1","1","0","0","0","0","0"
"RenrakuRuleCreationHelp","6","0","0","0","0","0","1","0"
"RePatternCodeRule","7","1","1","0","0","0","0","0"
"ReSettings","6","0","1","0","0","0","0","0"
"ReSourceAnchor","5","1","1","1","0","0","0","0"
"RFMethodReification","7","0","1","0","0","0","0","0"
"RFSenderReification","5","0","1","0","0","0","0","0"
"RGContainerTest","3","1","1","1","0","0","0","0"
"RGNamespace","1","1","1","0","0","0","0","0"
"RGSlice","1","1","1","0","0","0","0","0"
"RPackageOrganizer","2","0","1","1","0","0","1","0"
"RPackageRenamed","2","1","0","0","0","0","0","0"
"RPackageTestCase","3","1","0","1","0","0","0","0"
"RubCancelEditRequested","5","1","1","1","0","0","0","0"
"RubFloatingEditorBuilder","5","0","1","1","1","0","0","1"
"RubHoverHighlightSegmentMorph","6","1","1","0","0","0","0","0"
"RubPrimarySelectionUpdatedInModel","5","0","0","0","0","0","0","0"
"RubTextFieldArea","4","1","1","0","0","0","0","0"
"RussianEnvironment","1","0","0","0","0","0","1","0"
"RxMatchOptimizer","1","1","1","1","0","1","0","0"
"RxsPredicate","1","1","1","0","1","0","0","0"
"SDL_MouseButtonEvent","4","1","0","0","0","0","0","0"
"SDL_Version","5","1","1","0","0","0","0","0"
"SDL2","4","1","1","0","0","0","0","0"
"ShiftClassInstaller","7","1","1","1","0","0","1","0"
"ShNoChangesInClass","7","1","0","0","0","0","0","0"
"SHStyleElement","3","1","0","0","0","0","0","0"
"SimpleSwitchMorph","1","1","1","0","0","0","1","1"
"SmallDictionaryTest","3","1","0","1","0","0","0","0"
"SortFunctionTest","7","1","1","0","0","0","0","0"
"SparseLargeArray","1","1","1","0","0","0","0","0"
"IRReturnReceiver","4","1","0","0","0","0","0","0"
"SpecExamples","4","1","1","0","0","0","0","0"
"SpecLayout","2","0","1","0","0","0","0","0"
"SpecPragmaCollector","2","1","0","0","0","0","0","0"
"StoredSettingsMergerTest","5","1","1","1","0","0","0","0"
"StrikeFontStoredSetting","5","0","1","1","0","0","0","0"
"SugsStoresIntoInstVar","3","0","1","0","0","0","0","0"
"SycInspectVariableCommand","7","1","1","0","0","0","0","0"
"SycMethodCommand","7","1","1","0","1","0","0","0"
"SycNewClassCreationCommand","7","1","0","0","1","0","0","1"
"TabManagerModel","3","1","1","1","0","0","0","0"
"TAddForUniquenessTest","7","1","1","0","0","0","0","0"
"TDictionaryImplementationTest","7","1","1","0","0","0","0","0"
"TextDoIt","3","1","1","0","0","0","0","0"
"TextFieldSpec","2","1","1","0","0","0","0","0"
"TextHighlightByBounds","2","1","0","0","0","0","0","0"
"TextModel","2","0","1","0","0","0","1","0"
"TickingWindowModel","3","0","1","0","0","1","0","0"
"TickSelectionCheckboxButtonMorph","1","1","0","0","0","0","0","0"
"TimeZone","1","1","1","0","1","1","0","0"
"TIndexAccess","7","1","0","0","0","0","0","0"
"TonelCommentScanner","6","0","1","0","0","0","0","0"
"TraitAlias","1","0","0","0","0","0","0","0"
"TraitMethodDescription","1","0","1","1","0","1","0","1"
"TreeNodeModel","3","1","1","0","0","0","0","1"
"TxBlockCursor","4","0","1","0","0","0","0","0"
"TxPasswordSpan","4","0","0","0","0","0","0","0"
"TxStartSpan","4","1","1","0","0","0","0","0"
"UsersManager","2","1","0","0","1","0","0","0"
"VTermOutputDriver","2","0","1","0","0","0","0","0"
"VTermTestRunner","5","1","1","1","0","0","0","0"
"WeakRegistryTest","3","1","1","0","0","0","0","0"
"WeakSlot","4","1","0","1","0","0","0","1"
"WideCharacterSetTest","1","0","1","1","0","0","0","0"
"WidgetExamples","3","1","0","0","0","0","1","0"
"ZdcAbstractSocketStream","2","1","1","0","0","0","0","1"
"ZdcByteArrayManager","5","0","1","0","0","1","1","0"
"ZdcOptimizedSocketStreamTests","2","0","1","0","0","0","0","0"
"ZipDirectoryMember","1","1","1","1","0","0","0","0"
"ZipWriteStreamTests","7","1","1","1","0","0","0","0"
"ZnConnectionAcceptedEvent","4","0","1","1","0","0","0","0"
"ZnEndianessReadWriteStream","6","1","1","0","0","0","0","0"
"ZnEntity","1","1","1","1","1","0","0","0"
"ZnRequestResponseHandledEvent","4","0","1","1","0","0","0","1"
"ZnServerSession","2","1","0","1","0","1","0","0"
